,auditNature,companyLogo,videoUrl,financingStageName,companyName,companyNumber,menVipUrl,menVipLevel,industryNameLevel,companySize,companyDescription,companyUrl,bestEmployerType,bestEmployerLabel,industryLevel,url
0,,https://storage-public.zhaopin.cn/CompanyLogo/20150817/B7543E759A8F4215AE15A8914AD08558.jpg,,已上市,北京卓华信息技术股份有限公司,CZ518748220,,0,"计算机软件,计算机硬件,IT服务,互联网",20-99人,"北京卓华信息技术股份有限公司成立于2009年5月，是一家专注于物联网信息技术应用的高科技企业。公司是中关村海淀科技园区的“双软”及高新技术企业。2014年8月21日成功登陆全国中小企业股份转让系统（新三板），证券简称卓华信息，证券代码831030，股份总额为6246万股。 卓华信息发展目标：成为公安信息化行业的领导者，为社会的稳定发展做出贡献！ 关于卓华： 平台优势： 1、新三板创新层TOP100上市公司，2009年成立。 2、致力于物联网技术和理念在警务信息与指挥系统中的应用； 3、为公共安全行业提供基于物联网技术的信息采集、传递、分析、处理和应用的警务信息系统； 4、利用物联网和云计算技术建立自动化的指挥体系，为客户提供先进的、有机的和整体化的警务信息与指挥系统整体解决方案及优秀产品； 3、建立先进的业务咨询与服务体系，以及全国性的技术支撑体系，创立和打造“卓华”服务品牌，使其最终成为中国警务信息与指挥领域的领导者。 企业文化：务实、高效、创新、负责任、有良知！ 人才战略：卓华信息以企业文化为指引，以塑造“有能力”“有梦想”“敢拼搏”的员工为公司人才培养方向。 薪资福利： 1. 高于市场平均薪酬水平的薪资。我们一直抱着想让员工过更好的生活的心，会随着公司的盈利状况的增长给予员工回报。 2. 福利：做五休二，每天工作7个半小时，下午茶，爱心晚餐，法定节假日，五险一金，补充医疗，免费体检，团建、节日福利等。 3.公司保留股权给核心骨干人才，发展空间大。 4.可为符合政策条件员工办理北京市工作居住证和人才引进。 同事关系： 1. 公司高层，都有强大的行业/技术背景，且有着爱护员工的心。 2. 各部门的负责人，都有着培养下属的工作习惯，会与你相处愉快且能有力帮助你成长。 3. 我们所有同事，都真诚、努力且优秀。 环境优势： 公司位置在上地软件园二期，办公环境舒适。 地铁路线------地铁西二旗换乘通勤车或公交。 公交路线------公交205，909，963,509，982,447,446 公司官网：http://www.accellence.com.cn/ 凡有意者，请直接投递简历至公司匹配职位或将相关简历资料邮寄至本公司，来函请注明联系电话，公司将尽快发出面试通知，未录用材料存于公司人才信息库，恕不退还。公司竭诚欢迎广大有志之士的加盟！",http://company.zhaopin.com/CZ518748220.htm,0,[],"计算机软件,计算机硬件,IT服务,互联网",http://company.zhaopin.com/CZ518748220.htm
1,,https://storage-public.zhaopin.cn/user/avatar/1596420043346260155/logo%E9%BB%84%E5%BA%95.jpg,,未融资,麦田房产,CZ133216770,,0,房地产开发与经营,10000人以上,麦田房产集团成立于2000年10月19日，05年进驻北京，目前已发展为横跨南北，辐射北京、厦门、福州三地集团性企业，旗下设有北京、福州、厦门三大分公司。定位于房产经纪中高端市场，平均成交价格600万，服务客户近百万人次。 公司目前拥有600多家直营门店，员工人数12000多名，集团总部中心位于北京望京核心商务位置5A级写字楼绿地中心。 二十年来一直坚守“不赚差价，不炒楼，透明交易”的原则，同时独创出麦田自身的商业模式和企业文化，为整个房地产经纪业的健康发展做出巨大贡献。   【这就是麦田】 【认识公司】https://v.qq.com/x/page/y3258zzbys2.html 【员工形象】https://v.qq.com/x/page/j091832hzzo.html 【社区服务】https://v.qq.com/x/page/u3011qzrqpi.html 【储干写照】https://v.qq.com/x/page/p3011rqa579.html 【团队出游】https://v.qq.com/x/page/g0555iqg85t.html 【工作环境】https://v.qq.com/x/page/t0911yrggq2.html 【麦田之道（文化）】https://v.qq.com/x/page/l0548oc9bbx.html  【西部温暖计划】https://v.qq.com/x/page/t052474v3ti.html,http://company.zhaopin.com/CZ133216770.htm,1,"[{'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '人际关系好'}]",房地产开发与经营,http://company.zhaopin.com/CZ133216770.htm
2,,https://storage-public.zhaopin.cn/org/logo/1631169151119635222/sf%20logo-01.jpg,,已上市,顺丰速运,CZ131486150,,0,货运/物流仓储,10000人以上,"顺丰是国内最大的综合物流服务商、全球第四大快递公司，致力于成为独立第三方行业解决方案的数据科技服务公司，以领先的技术赋能客户，为客户提供涵盖多行业、多场景、智能化、一体化的智慧供应链解决方案。同时,顺丰还是一家具有“天网+地网+信息网”网络规模优势的智能物流运营商，拥有对全网络强有力管控的经营模式。",http://company.zhaopin.com/CZ131486150.htm,1,"[{'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '人际关系好'}, {'state': 0, 'value': '管理人性化'}, {'state': 0, 'value': '实力大公司'}, {'state': 0, 'value': '交通便利'}]",货运/物流仓储,http://company.zhaopin.com/CZ131486150.htm
3,,https://storage-public.zhaopin.cn/org/logo/1650848673725273339/543325ddec072cadcb64e71d43289a1.png,,不需要融资,北京王致和食品有限公司,CZL1382405380,,0,"农副产品加工制造,农副产品加工制造",500-999人,“王致和”品牌始创于清康熙八年（公元1669年），距今已有三百余年的历史，王致和公司是国内最大的腐乳生产企业，公司始终将传承与创新有机结合，在保持诚信创业的传统经营理念和工艺技术的基础上，创新经营思路、创新工艺技术、创新营销模式，逐步形成文化、品牌、技术、渠道和运营五大发展优势。王致和品牌旗下拥有腐乳、料酒、酱类、调料、香油麻酱、豆沙豆馅等不同系列百余种产品，均为百姓佐餐佳品。,http://company.zhaopin.com/CZL1382405380.htm,0,[],"农副产品加工制造,农副产品加工制造",http://company.zhaopin.com/CZL1382405380.htm
4,,https://fileihr.zhaopin.com/015/626/015626372/logo/56d11aac-bacb-4cce-8971-2253df1c652b.jpg,,已上市,我爱我家,CZ156263720,,0,房地产中介,10000人以上,我爱我家控股集团股份有限公司（证券代码：000560），是国内首家成功登陆A股主板市场的房地产经纪企业。集团旗下拥有我爱我家、相寓、昆百大、伟业顾问、汇金行和我爱我家海外等多个在行业内知名的专业业务品牌，面向政府、投资机构、金融机构、学术研究机构、房地产开发企业，以及广大个人消费者，提供线上线下一体化的数据顾问、楼盘代理、新房交易、二手房经纪、房屋租赁、住宅资产管理、商业地产运营管理和海外房产交易等房地产全产业链居家综合服务。 截止2017年底，集团国内业务覆盖北京、上海、杭州、南京、天津、苏州、太原、长沙、郑州、无锡、成都、武汉、南宁、青岛、南昌等15个大中型城市，拥有深入社区的连锁门店3300余家，专业的房产置业顾问服务团队5.5万余人，近三年实现房屋销售总额破万亿，营业收入逾200亿元，企业规模位居国内房地产经纪行业前列。集团旗下专业房屋资产管理品牌——相寓，作为中国经营时间最长的房屋资产管理服务商，全国在管租赁房屋套数27万套，55万间，物业资产管理规模逾5000亿元，稳居行业第一。 在中国经济和房地产市场发展的新时代，我爱我家集团将坚持开放、共享的理念，携手同业，与更多的合作伙伴一起创造更多合作共赢的契机，为社会带来更多的就业机会，承担更多的社会责任；共同为广大客户提供更加优质的专业服务；为广大员工提供更加广阔的个人展业平台；一起推动房地产经纪行业的规范、健康、可持续发展，共同构建开放、共享、共赢的行业和谐生态圈，让居住更美好。,http://company.zhaopin.com/CZ156263720.htm,0,"[{'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '人际关系好'}, {'state': 0, 'value': '交通便利'}, {'state': 0, 'value': '非常锻炼人'}, {'state': 0, 'value': '准时发工资'}]",房地产中介,http://company.zhaopin.com/CZ156263720.htm
5,,https://storage-public.zhaopin.cn/user/avatar/7d167320c35f48d1b10379394ee3a70e/f97ee975-4df5-4828-bab6-6494f9f3ff35.jpg,,,北京链家房地产经纪有限公司,CZ121087800,,0,房地产中介,10000人以上,北京链家房地产经纪有限公司122,http://company.zhaopin.com/CZ121087800.htm,0,"[{'state': 0, 'value': '工作环境好'}, {'state': 0, 'value': '同事很nice'}, {'state': 0, 'value': '氛围活跃'}, {'state': 0, 'value': '团队执行强'}, {'state': 0, 'value': '人际关系好'}, {'state': 0, 'value': '交通便利'}]",房地产中介,http://company.zhaopin.com/CZ121087800.htm
6,,https://storage-public.zhaopin.cn/org/logo/1609901038746694874/6e96cd3a26bb52c021a077e0f33da7ef092.jpg,,,北京澳纽之窗商贸有限公司,CZ143537360,,0,"贸易/进出口代理,卫生服务",100-299人,"北京澳纽之窗商贸有限公司成立于2004年11月，其前身为澳大利亚GMP制药集团公司（Australia GMP pharmaceuticals Pty., Ltd.）驻京办事处；现已发展成为商品进出口贸易，技术服务及相关贸易、医药保健产品及化妆品的原料和成品的质量控制研究和产品开发于一体综合性的实体公司，隶属于澳大利亚GMP制药集团公司下属的全资子公司。GMP制药集团是一家专业的具有十余年行业经验的集药品保健品和营养食品、日化产品的研发、生产为一身的在相关行业具有很强影响力和实力的跨国的集团公司，其下属的子、分公司有：  澳大利亚GMP大药厂新西兰GMP大药厂标准制药（香港）有限公司北京澳纽之窗商贸有限公司北京澳纽之窗商贸公司秉承GMP制药集团的“质量、诚信、努力、勤奋”的企业文化，在自己的业务领域致力于与我们的客户和利益相关者建立良好的长期战略协作关系。目前澳纽之窗在集团总公司的强大的技术、资金和企业运营管理等各方面的支持下，我们非常自信和成功地开展了如下业务：  中药和植物药、保健品和化妆品、食品与营养食品、日化产品的原料及成品的进出口业务，成功地将中国的中草药、植物提取物出口到澳洲新西兰和欧盟各国的同时致力于澳大利亚、新西兰所特有的相关产品与原料的引进与推广销售。集团公司在澳大利亚和新西兰拥有两个在医药、植物药、保健品以及日化产品生产加工领域久负盛名的工厂，因此本公司欢迎国内需要进行委托加工的公司来我司洽谈业务，从而使贵公司的产品拥有纯正澳洲ＧＭＰ制造的高质量的保证，使您的产品在国内国际的销售更加如鱼得水。借助于GMP制药集团十余年的跨国相关行业的经验积累以及澳纽之窗公司与国内行业和政府监管部门良好的关系，开展如下技术贸易服务：国外公司药品保健相关产品进口的代理申报业务，并提供“一站式”服务；国内的企业取得相关产品有关澳洲和新西兰的生产、销售许可、相关证书、产品注册等一系列完善的服务如：澳大利亚药管局（ＴＡＧ）的ＧＭＰ证书。借助GMP集团在澳洲同政府和工商业的广泛联系，向国内的企业和个人提供在澳洲、新西兰的企业注册，海外移民申请和留学服务等业务。我们将不断开发和开拓我们的核心业务并作为数家纯正澳大利亚和新西兰生产的保健食品、营养食品和特色食品的著名品牌在中国的总代理，不遗余力地致力于这些产品在中国市场的销售和推广工作，欢迎各界朋友与我公司联系和洽谈业务。  为了您的成功，我们一直在努力！ ",http://special.zhaopin.com/pagepublish/14353736/index.html,0,[],"贸易/进出口代理,卫生服务",http://special.zhaopin.com/pagepublish/14353736/index.html
7,,http://zhaopin-c-ask.oss-cn-beijing.aliyuncs.com/avatar/uXT9sLmctBx74xFL1566536795.682887.jpg,,已上市,北京京讯递科技有限公司,CZ838376750,,0,货运/物流仓储,10000人以上,价值观：客户为先、诚信、协作、感恩、拼搏、担当,http://company.zhaopin.com/CZ838376750.htm,0,[],货运/物流仓储,http://company.zhaopin.com/CZ838376750.htm
8,,http://img09.zhaopin.com/2012/other/mobile/mi/companyLogo/03/default.png,,未融资,瑞通励合(北京)文化传媒有限公司,CZ185674420,,0,"广播/电视/电影/录音制作,广告业",100-299人,瑞通励合(北京)文化传媒有限公司创立于2008年，公司位于北京市顺义区北务镇珠宝屯村东兴英南路5号。主要以领先的设备、稳定的技术团队、优质的服务和创新的设计方案为会议、文艺晚会、展览、公司年会、车展、演唱会、发布会等活动提供专业的视频、灯光、音响等AV设备租赁服务。公司坚持拓展与国内/外租赁商进行合作及交流，在技术、设备和服务能力上始终处于AV集成领域前列，在京津及华北地区AV界享有良好的口碑，获得了良好的市场竞争力。经过9年的营业运作，公司现已拥有专业从事各类大型演出活动的技术精英团队，高质量的技术服务；不断优化更新的顶级设备，形成了高性价比的产品设计方案。能以最专业的设计，最顶级的配置，为用户提供具有国际先进水平的大型舞台AV设备，并以专业的工程配置设计理念，丰富的现场调式经验、多样化的产品功能，最完美的方案达到客户所需要的最佳效果，在广大客户中赢得了广泛赞誉。,http://company.zhaopin.com/%E7%91%9E%E9%80%9A%E5%8A%B1%E5%90%88%28%E5%8C%97%E4%BA%AC%29%E6%96%87%E5%8C%96%E4%BC%A0%E5%AA%92%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC185674424.htm,0,[],"广播/电视/电影/录音制作,广告业",http://company.zhaopin.com/%E7%91%9E%E9%80%9A%E5%8A%B1%E5%90%88%28%E5%8C%97%E4%BA%AC%29%E6%96%87%E5%8C%96%E4%BC%A0%E5%AA%92%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC185674424.htm
9,,https://storage-public.zhaopin.cn/CompanyLogo/20141112/91D5315B455B4EBE90324DD5DD70FC20.jpg,,,北京三立车灯有限公司,CZ135761600,,0,"汽车制造,金属制品业",500-999人,公司简介       北京三立车灯有限公司(BSL)是生产汽车灯的外商独资企业，公司成立于2003年1月，由韩国三立产业株式会社（SL corporation)和德国海拉亚太控股公司(Hella)共同出资设立，公司注册资本895万美元，总投资额2237.5万美元。公司主要生产前大灯、后尾灯、室内灯、高位刹车灯、雾灯等，2009年为北京现代供应57万台汽车车灯。            韩国三立产业株式会社成立于1954年，是韩国最大的汽车配件企业之一，在中国目前投资有北京三立、上海三立、东风三立、烟台三立四家合资／独资企业，在美国、印度、捷克等地也建有分公司。公司现有厂房面积33000平方米，员工五百余人，主要客户为北京现代，为其索纳塔、伊兰特、御翔、途胜、雅绅特、悦动、领翔、I30、IX35等车型独家提供各类车灯，公司成长迅速，从2003年最初的进口散件组装，发展到现在的自主国产。2009年营业额已突破5亿人民币。公司秉承母公司的“以人为本，顾客满意，追求最高技术”的精神，立志成为中国最优秀的车灯企业，并配合母公司实现进军世界汽配行业前三甲的目标。我们坚信；“我们的产品是我们人格和灵魂的体现”，“质量是我们的自尊心”，公司将会用最优秀的品质满足客户的需要。            经过全体员工的不懈努力，北京三立公司在北京现代汽车2010年度供应商五星评审（5 Star）中获得了五星企业的最高评价。三立公司注重企业文化建设，尽心营造温馨向上的企业氛围，免费为员工提供工作餐和加班用餐，每年举办员工运动会和乒乓球、羽毛球比赛，每年组织员工出外踏青旅游，并选拔优秀员工到韩国总部进行为期一周的参观研修，每月为员工举办生日会并赠送生日礼物，为女员工发放“三八”节礼品，制定了员工庆吊金福利规定，努力让员工感受到家庭般温暖；           公司拥有较完备的员工薪资和职位晋升机制，实行工资加奖金（目前奖金每年度分四次发放）的薪资模式，按国家规定为员工缴纳社会保险和住房公积金。           北京三立车灯有限公司欢迎所有热爱汽车行业的有志人士加盟！诚邀您和三立共成长！！！           公司网址：http://www.sl.co.kr/  ,http://special.zhaopin.com/pagepublish/13576160/index.html,0,[],"汽车制造,金属制品业",http://special.zhaopin.com/pagepublish/13576160/index.html
